chain,block,txn,pending,sender,level,profit,reason,related_ids,feedback,ts
1,13905778,0xd6a816cc291b24267c03c23c730a84a2699f32a7cf714c8cbe3e47321c76b08f,FALSE,0xa8189407a37001260975b9da61a81c3bd9f55908,5,55.90054421 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[2],""Extra"":{""Address"":""0xa8189407a37001260975b9da61a81c3bd9f55908"",""Profit"":""55.90054421"",""Sig"":""0xd0a494e4""}},{""Source"":""Action"",""Feature"":""Add Remove Liquidity in Same Txn"",""Ids"":[86,179],""Extra"":{""Pool"":""0xe777196834baa8738ecdc261a7d7ee3c28ee27ef""}}]}","{2,86,179}",TRUE,07:16.5
1,13905789,0x713c2ce2cb424eb746083c25b7e48c368bb64f587c2d77b5c474a307a79bf069,FALSE,0xa8189407a37001260975b9da61a81c3bd9f55908,3,13.01676662 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Add Remove Liquidity in Same Txn"",""Ids"":[116,209],""Extra"":{""Pool"":""0xd72cd920a387206a4451614fd66d07c4fe8bd4d4""}}]}","{116,209}",TRUE,07:17.1
1,13955735,0x76d59f2356096db2754a9e128758bfb44b53f67cfe41b552b48f5739b535a843,FALSE,0xcdd3010b519a7328a19496c2c63448e7e6cb1ea4,3,7.303999291 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[51,51],""Extra"":{""Pool"":""0x2057cfb9fd11837d61b294d514c5bd03e5e7189a"",""Token0"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""Token1"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}}]}","{51,51}",TRUE,07:46.2
1,13966256,0xb858f60ed036d116b09b2292aa39effbae302b5aa0fea832601a73ab36bd3cb1,FALSE,0x38c74357459a2a04029b8acd045cc9c2628e1541,3,62.43684859 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[61,61],""Extra"":{""Pool"":""0x220bda5c8994804ac96ebe4df184d25e5c2196d4"",""Token0"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""Token1"":""0x6b175474e89094c44da98b954eedeac495271d0f""}}]}","{61,61}",TRUE,46:52.9
1,13979087,0x321b0814258840d682ef74dc6285ac0d620a0e3e882ade5e1f94d81efe1d4878,FALSE,0x5422622182e965293da78eeaf1eb2e1662e9c8d8,3,300.6015128 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[0,0],""Extra"":{""Pool"":""0x220bda5c8994804ac96ebe4df184d25e5c2196d4"",""Token0"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""Token1"":""0xf4d2888d29d722226fafa5d9b24f9164c092421e""}}]}","{0,0}",TRUE,34:12.2
1,13979402,0xf0abc726f02e4eacfece810d34083729d38977a700f01dc7fe9bb3abd8d9caf3,FALSE,0x2879302118bced2d132ba42f5ab158fe3cd422b8,3,1034.583915 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[26],""Extra"":{""Address"":""0xb84bd1221667164a4b3a4b798ec79b5874d1ff71"",""Profit"":""52.32328576"",""Sig"":""0x10d1e85c""}}]}",{26},TRUE,35:22.9
1,13987064,0x5b50e67eef869f585a56334249858f781c4e33ccc6d4626bc9c6029d1909ceca,FALSE,0x5422622182e965293da78eeaf1eb2e1662e9c8d8,3,7.88985662 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[0,0],""Extra"":{""Pool"":""0x220bda5c8994804ac96ebe4df184d25e5c2196d4"",""Token0"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""Token1"":""0xf4d2888d29d722226fafa5d9b24f9164c092421e""}}]}","{0,0}",TRUE,03:30.3
1,13999956,0xb7436c70eacf82375ee604cb5b52a5c18e307921c3314ec2c45f65d594402808,FALSE,0x63661a309e86d2d19d160723712e417a26b97e86,3,131.7725916 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[20],""Extra"":{""Address"":""0x92e8ce0070b22f3b2e0d5a850152baf0f377bc5e"",""Profit"":""131.7725916"",""Sig"":""0x490e6cbc""}}]}",{20},TRUE,49:37.6
1,14011246,0x7cd96ab1544a3139984bacc2af04010e31a9ff2e469a97639fa3da0139dced08,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,4,4934.828888 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[246],""Extra"":{""Address"":""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""Profit"":""4934.828888"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[260,332],""Extra"":{""Depositor"":""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{246,260,332}",TRUE,30:47.9
1,14020782,0x12de7fccdb0ddb271d4a001874b7b0461f070e37c5964e4349cf77c773f21c6d,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,5,9236.569061 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[203],""Extra"":{""Address"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Profit"":""9236.569061"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[216,288],""Extra"":{""Depositor"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{203,216,288}",TRUE,05:40.1
